model,val_auc,val_prauc,val_rmse,val_acc,test_auc,test_prauc,test_rmse,test_acc,elapsed_s
Baseline,0.5,0.8185,0.3855,0.8185,0.5,0.8201,0.3841,0.8201,0.0
BKT,0.6819,0.9029,0.3741,0.8185,0.6767,0.9053,0.3735,0.8201,61.9
DKT-Binary,0.6653,0.9004,0.3744,0.8231,0.6662,0.9048,0.3751,0.822,30.8
DKT-Quality★,0.6679,0.9034,0.3546,0.8009,0.672,0.9074,0.3553,0.7956,20.9
SAKT-Binary,0.6587,0.8971,0.3734,0.8231,0.6684,0.9033,0.3733,0.822,11.3
SAKT-Quality★,0.6647,0.9009,0.3553,0.7754,0.6674,0.9039,0.3564,0.7765,12.0
DKT-Deep,0.6637,0.9016,0.3741,0.8231,0.6693,0.9059,0.3745,0.822,116.4
SAKT-Deep,0.6616,0.8993,0.373,0.8231,0.6695,0.9058,0.3734,0.822,31.4
